,location,country_code,latitude,longitude,confirmed,dead,recovered,updated
7777,Espinosa,br,-14.9208652,-42.8110595,2,1.0,,2020-05-19 19:47:53.571672+00:00
7778,"Pickens County, Georgia",us,34.4497166,-84.4592701,38,3.0,,2020-05-19 19:45:20.115934+00:00
7779,"Fremont County, Idaho",us,44.2242743,-111.4790031,3,0.0,,2020-05-19 19:45:20.115934+00:00
7780,Gravataí,br,-29.8727699,-50.9706116,31,1.0,,2020-05-19 19:47:55.245148+00:00
7781,Ibirataia,br,-14.0666579,-39.6418115,11,1.0,,2020-05-19 19:47:55.970554+00:00
7782,"Edwards County, Kansas",us,37.865958,-99.2785583,5,0.0,,2020-05-19 19:45:20.115934+00:00
7783,"Kane County, Illinois",us,41.987884,-88.4016041,4584,115.0,,2020-05-19 19:45:20.115934+00:00
7784,"Fleming County, Kentucky",us,38.3987633,-83.67739279999999,3,0.0,,2020-05-19 19:45:20.115934+00:00
7785,"Lyon County, Minnesota",us,44.3981292,-95.89871389999999,26,0.0,,2020-05-19 19:45:20.115934+00:00
7786,"Cape May County, New Jersey",us,39.105884,-74.8273184,506,41.0,,2020-05-19 19:45:20.115934+00:00
7787,Ilhéus,br,-14.7935051,-39.0463797,389,19.0,,2020-05-19 19:47:56.273986+00:00
7788,Itiúba,br,-10.6902426,-39.8557339,1,1.0,,2020-05-19 19:47:57.622993+00:00
7789,"Creek County, Oklahoma",us,35.8362494,-96.3226072,85,7.0,,2020-05-19 19:45:20.115934+00:00
7790,Beemster,nl,52.5475586,4.9133323,4,,,2020-05-19 19:46:55.281198+00:00
7791,Araripe,br,-7.264370799999999,-40.0633101,2,0.0,,2020-05-19 19:47:43.523424+00:00
7792,Araçatuba,br,-21.2028539,-50.4536793,112,4.0,,2020-05-19 19:47:43.654403+00:00
7793,Benjamin Constant,br,-4.5204349,-69.9550338,182,11.0,,2020-05-19 19:47:45.718006+00:00
7794,Unayzah,sa,26.090731,43.9875457,9,0.0,0.0,2020-05-19 19:48:38.451120+00:00
7795,São Domingos,br,-13.3992613,-46.3188059,4,1.0,,2020-05-19 19:48:10.800593+00:00
7796,Callao,pe,-12.0508491,-77.1259843,6782,,,2020-05-19 19:48:16.115234+00:00
7797,Cusco,pe,-13.53195,-71.96746259999999,626,,,2020-05-19 19:48:16.115234+00:00
7798,Kharj,sa,24.1576043,47.3247876,8,0.0,0.0,2020-05-19 19:48:38.460024+00:00
7799,Jiddah,sa,21.485811,39.19250479999999,1214,11.0,134.0,2020-05-19 19:48:38.854424+00:00
7800,Al Qurayyat,sa,31.3296352,37.3613533,32,0.0,31.0,2020-05-19 19:48:38.929277+00:00
7801,East Azerbaijan,ir,37.9035733,46.2682109,813,,,2020-05-19 19:48:40.852070+00:00
7802,Al Qatif,sa,26.5764917,49.998236,306,0.0,116.0,2020-05-19 19:48:38.901423+00:00
7803,Araçariguama,br,-23.437744,-47.0638699,6,1.0,,2020-05-19 19:47:43.635217+00:00
7804,Guzolândia,br,-20.6471468,-50.66497469999999,1,0.0,,2020-05-19 19:47:55.712634+00:00
7805,Cuité de Mamanguape,br,-6.9133286,-35.2505359,1,0.0,,2020-05-19 19:47:52.249110+00:00
7806,Missão Velha,br,-7.249680100000001,-39.1402612,7,0.0,,2020-05-19 19:48:00.827160+00:00
7807,Palmares,br,-8.6764828,-35.5821519,56,9.0,,2020-05-19 19:48:03.483465+00:00
7808,Guabiruba,br,-27.0863925,-48.96574709999999,6,1.0,,2020-05-19 19:47:55.314926+00:00
7809,"Jasper County, Indiana",us,41.0040981,-87.14228949999999,44,1.0,,2020-05-18 19:45:24.591927+00:00
7810,Alto Paraguai,br,-14.7859159,-56.6962857,1,0.0,,2020-05-19 19:47:42.156897+00:00
7811,Tobias Barreto,br,-11.1791273,-38.0033598,8,1.0,,2020-05-19 19:48:12.987522+00:00
7812,Zhangjiajie,cn,29.117096,110.479191,5,0.0,5.0,2020-05-19 19:48:18.919922+00:00
7813,"Porter County, Indiana",us,41.5248577,-87.10237459999999,412,13.0,,2020-05-18 19:45:24.591927+00:00
7814,"Fayette County, Iowa",us,42.9258199,-91.9099238,25,0.0,,2020-05-19 19:45:20.115934+00:00
7815,"Wythe County, Virginia",us,36.9484414,-81.0848477,16,1.0,,2020-05-19 19:45:20.115934+00:00
7816,"Warren County, Illinois",us,40.8758777,-90.6773046,109,0.0,,2020-05-19 19:45:20.115934+00:00
7817,Ibirubá,br,-28.6307855,-53.09557849999999,5,0.0,,2020-05-19 19:47:55.991974+00:00
7818,"Sumter County, Georgia",us,31.9981596,-84.2278796,419,39.0,,2020-05-19 19:45:20.115934+00:00
7819,"Red Willow County, Nebraska",us,40.2353963,-100.5296115,5,0.0,,2020-05-19 19:45:20.115934+00:00
7820,Greenwich,gb,51.4933675,0.0098214,673,,,2020-05-14 15:01:09+00:00
7821,Anagé,br,-14.6160299,-41.1369088,1,1.0,,2020-05-19 19:47:42.606002+00:00
7822,Tocantinópolis,br,-6.3248673,-47.4228183,14,1.0,,2020-05-19 19:48:12.997182+00:00
7823,Xiamen,cn,24.479833,118.089425,35,0.0,35.0,2020-05-19 19:48:18.919922+00:00
7824,"Montgomery County, Iowa",us,41.0438839,-95.18492189999999,5,0.0,,2020-05-19 19:45:20.115934+00:00
7825,"Strafford County, New Hampshire",us,43.238329,-71.0236044,234,12.0,,2020-05-19 19:45:20.115934+00:00
7826,Água Azul do Norte,br,-6.8033725,-50.48631510000001,2,0.0,,2020-05-19 19:48:14.674797+00:00
